timestamp,engine_id,engine_temp,oil_pressure,fuel_consumption,vibration_level,rpm,engine_load,coolant_temp,exhaust_temp,running_period,fuel_consumption_per_hour,maintenance_status,failure_mode,engine_type,fuel_type,manufacturer
2023-01-01,ENG_001,79.81640628226953,7.049409032962488,1000.0,4.3666121346099205,1770.214578482628,42.472407130841745,78.323108021168,450.0,49.74179097475565,100.0,Critical,Oil Leakage,4-stroke High-Speed,Diesel,MAN B&W
2023-01-08,ENG_001,98.98206761721201,8.0,6308.623816867823,3.7327917124088246,1677.2382377169592,77.04285838459498,100.0,450.0,94.35151484496443,100.0,Requires Maintenance,Oil Leakage,2-stroke Low-Speed,Diesel,Mitsubishi
2023-01-15,ENG_001,83.91815316090448,8.0,6444.402259839554,4.061371866232441,1487.472084534553,63.919636508684306,78.17833683212388,450.0,120.09580366566874,100.0,Normal,No Failure,2-stroke Medium-Speed,Diesel,Caterpillar
2023-01-22,ENG_001,81.88708071033642,7.601602805755359,4439.946612937667,3.9995543354368577,1548.6246917025787,55.919509051822196,82.8963441992461,450.0,122.32155471778071,100.0,Requires Maintenance,Mechanical Wear,2-stroke Medium-Speed,Diesel,MAN B&W
2023-01-29,ENG_001,78.55042924188598,6.233033328749875,3146.2340384578447,4.520558950451729,1441.1514988727085,29.36111842654619,80.7911499502747,450.0,111.97846049001173,100.0,Normal,No Failure,4-stroke High-Speed,Diesel,Wärtsilä
2023-02-05,ENG_001,74.94844949012187,6.628236767307927,3685.7383063822635,3.356115804714954,1771.3166771655965,29.35967122017216,76.80704206821312,450.0,146.29615136230382,100.0,Requires Maintenance,Oil Leakage,2-stroke Low-Speed,HFO,MAN B&W
2023-02-12,ENG_001,72.62036185771359,5.2639210899049464,3757.914575601204,3.277019471470472,1459.9294844411672,23.485016730091967,72.0302005816615,450.0,146.17771700180953,100.0,Requires Maintenance,Oil Leakage,4-stroke Medium-Speed,Diesel,Mitsubishi
2023-02-19,ENG_001,92.11655047999031,8.0,6181.2103557399305,4.237666582428212,1546.3684184269696,71.97056874649611,94.86250542626344,450.0,97.26134198037656,100.0,Critical,Overheating,4-stroke High-Speed,Diesel,Wärtsilä
2023-02-26,ENG_001,79.29474092685923,8.0,3189.8154802645568,3.865192863699573,1729.206028828413,56.06690070459253,75.47586427799169,450.0,72.21587001068366,100.0,Critical,Mechanical Wear,4-stroke Medium-Speed,Diesel,Rolls-Royce
2023-03-05,ENG_001,83.70549522576063,7.581162890225324,6813.603882394336,3.6581911111735117,1344.5257030308187,62.48435466776273,83.43787703014104,450.0,107.78380965493677,100.0,Normal,Mechanical Wear,2-stroke Low-Speed,Diesel,Caterpillar
2023-03-12,ENG_001,86.64099881194265,6.7045037311296145,1000.0,3.9054830615241203,1811.7578368993788,21.23506965774815,86.06081140846055,450.0,137.4596162302378,100.0,Normal,Oil Leakage,2-stroke Low-Speed,HFO,Mitsubishi
2023-03-19,ENG_001,95.75575263376093,8.0,1000.0,3.7989292394317427,1193.9077180513245,78.19459112971967,98.86495170088419,450.0,0.9495536133190337,800.0,Requires Maintenance,Overheating,4-stroke High-Speed,Diesel,Mitsubishi
2023-03-26,ENG_001,87.25115077305804,8.0,8062.331866073953,3.844872076477108,1825.9284262225597,69.94655844802531,81.18967126148439,450.0,166.65549751449498,100.0,Normal,Oil Leakage,4-stroke Medium-Speed,HFO,Wärtsilä
2023-04-02,ENG_001,81.91317938353995,5.976696502269925,1000.0,3.7579989544403625,1425.464883209605,32.74034664069657,78.73879022975805,450.0,30.72615375130547,100.0,Normal,Overheating,2-stroke Medium-Speed,Diesel,MAN B&W
2023-04-09,ENG_001,82.10950179466096,6.615315884263918,2978.3392200471408,3.6474115079500904,1451.4602504349436,30.909498032426036,87.3512542205525,450.0,79.001829590876,100.0,Normal,Oil Leakage,2-stroke Medium-Speed,HFO,Wärtsilä
2023-04-16,ENG_001,84.27335327781299,7.27691208246764,2859.5277234988034,3.277187710111973,1121.9979657634115,31.00427059120603,76.9816549062781,450.0,146.5009954536016,100.0,Normal,No Failure,2-stroke Medium-Speed,Diesel,MAN B&W
2023-04-23,ENG_001,80.84058022598802,6.718121156280231,1000.0,3.4789754184099473,1409.0410565244615,38.254534577572265,83.28385214105052,450.0,37.806787039425494,100.0,Requires Maintenance,No Failure,2-stroke Low-Speed,Diesel,Yanmar
2023-04-30,ENG_001,90.32810428324473,7.533788582528327,6181.194314825975,3.3864012243944854,1292.0386937946232,51.48538589793427,88.22712279416331,450.0,80.10159761526438,100.0,Critical,Oil Leakage,4-stroke Medium-Speed,HFO,Yanmar
2023-05-07,ENG_001,73.58277771114722,7.801020481021514,1000.0,3.8659314331825247,1378.4707309253054,45.916701118526944,74.34688552208551,450.0,22.2738062704381,100.0,Requires Maintenance,Overheating,2-stroke Low-Speed,HFO,Caterpillar
2023-05-14,ENG_001,75.96058387118599,7.044122816267266,4140.311669442222,3.5029740423636246,1472.537806842224,37.47374841188251,80.20193108276405,450.0,66.37282266521636,100.0,Critical,Mechanical Wear,4-stroke High-Speed,HFO,MAN B&W
2023-05-21,ENG_001,87.83270911368511,7.049420794304849,1677.9210378983166,3.6819371272086174,1691.5583228945811,56.71117368334277,88.71232972692161,450.0,29.758756405224425,100.0,Normal,Mechanical Wear,4-stroke Medium-Speed,Diesel,Wärtsilä
2023-05-28,ENG_001,80.1590571557757,6.467925189883718,1361.6393010533336,3.168790101373731,1541.5206702801252,28.36963163912251,84.46265728605876,450.0,61.08946179355438,100.0,Requires Maintenance,Mechanical Wear,4-stroke Medium-Speed,HFO,Yanmar
2023-06-04,ENG_001,76.69969223529071,7.632551400938453,2950.485540800909,3.7737007618338936,1561.5353306802228,37.528678912113094,75.2226446929303,442.9573421609002,62.7419884211773,100.0,Requires Maintenance,Oil Leakage,2-stroke Low-Speed,Diesel,MAN B&W
2023-06-11,ENG_001,83.89161313560224,7.080614936647326,7440.403239842081,3.4076902734177597,1280.8961222308876,41.9817105976215,82.81108436807352,450.0,166.8526926525199,100.0,Normal,Mechanical Wear,2-stroke Low-Speed,Diesel,Rolls-Royce
2023-06-18,ENG_001,81.09005847247033,5.9974652379124205,5686.6614604526985,3.031763987373227,1323.8491820794538,47.364199053022155,83.4505852190135,450.0,167.12858892303373,100.0,Normal,Oil Leakage,4-stroke High-Speed,Diesel,MAN B&W
2023-06-25,ENG_001,88.7483718339384,8.0,1025.08329623671,3.7399974417777258,1859.7450036702623,67.11055768358082,87.4300804530914,450.0,19.284094814982886,100.0,Normal,Mechanical Wear,2-stroke Medium-Speed,Diesel,Yanmar
2023-07-02,ENG_001,84.71799708217553,6.499793126703062,4467.206512339311,3.4262050851209964,1352.9597930473506,31.980426929501583,86.51003622528954,450.0,121.96275492716234,100.0,Critical,Mechanical Wear,4-stroke Medium-Speed,Diesel,Yanmar
2023-07-09,ENG_001,89.80090737588802,6.628156108280227,1141.6636188936068,3.8625001887787462,1831.2416504114592,50.8540663048167,93.35232002562107,450.0,8.693240584408993,131.32773766104418,Critical,Oil Leakage,4-stroke Medium-Speed,Diesel,Rolls-Royce
2023-07-16,ENG_001,81.67816060270044,6.937639661559236,1827.3082020041395,3.7080799463179437,1451.3877602238267,55.54487413172255,84.28317128556262,450.0,5.072258576647689,360.25533288403983,Critical,Oil Leakage,2-stroke Medium-Speed,Diesel,Rolls-Royce
2023-07-23,ENG_001,71.54985011885944,6.6269048098043974,1337.7050244340182,3.3632722077760806,1500.4575872287007,22.787024763199863,70.0,450.0,17.696094233154003,100.0,Normal,Mechanical Wear,2-stroke Medium-Speed,Diesel,Wärtsilä
2023-07-30,ENG_001,84.8799403564593,7.456443182906775,9633.59703297725,3.478807310342933,1714.0730320459859,56.4526911140863,83.85579802531073,450.0,162.2015903773329,100.0,Requires Maintenance,Mechanical Wear,2-stroke Medium-Speed,HFO,Mitsubishi
2023-08-06,ENG_001,78.93570272050661,6.057824180693879,4501.417427335971,3.417139159161525,1754.3784843877313,30.23144742123749,79.78120017267108,450.0,158.06507604630917,100.0,Critical,Overheating,4-stroke High-Speed,Diesel,Caterpillar
2023-08-13,ENG_001,73.88143623086133,6.177335498490004,1344.8190183853399,3.8330827957084894,1477.8374879441826,23.903095579116773,73.14975561197315,445.82111197542355,32.579873807154314,100.0,Normal,Mechanical Wear,2-stroke Low-Speed,Diesel,Mitsubishi
2023-08-20,ENG_001,98.28315188455834,8.0,2493.38308445403,4.291375455055766,1422.3513892956921,76.93313223519999,98.52124992473294,450.0,27.160952373023534,100.0,Critical,Oil Leakage,4-stroke High-Speed,Diesel,Yanmar
2023-08-27,ENG_001,95.11832580388484,8.0,2877.0817143891413,4.19717270969573,1488.8159102955574,77.93792198447356,96.00353803669262,450.0,40.4098945346791,100.0,Requires Maintenance,No Failure,4-stroke Medium-Speed,Diesel,Yanmar
2023-09-03,ENG_001,92.58157781546844,8.0,6094.685138254712,4.115684942905289,1567.5915056464237,68.50384088698766,91.00187345331572,450.0,86.61189500462388,100.0,Normal,Overheating,2-stroke Medium-Speed,HFO,Caterpillar
2023-09-10,ENG_001,75.15035370039581,6.31384351747329,3667.8328290307927,3.9933254026106453,1678.260737373951,38.27682615040224,74.57003705902822,447.39030812739736,95.71037818194885,100.0,Requires Maintenance,Mechanical Wear,4-stroke High-Speed,Diesel,Yanmar
2023-09-17,ENG_001,83.5945516390338,6.037417442738459,2058.3563244972183,3.172787833055615,1500.8459717988303,25.86032684038303,80.05144745501323,450.0,37.22769631382715,100.0,Normal,Mechanical Wear,4-stroke High-Speed,Diesel,Rolls-Royce
2023-09-24,ENG_001,74.21535036601537,8.0,7653.085513006992,3.9323069557366943,1623.7772596046307,61.053981590729414,72.78182500529341,449.5138688257702,127.11262839911079,100.0,Requires Maintenance,Overheating,2-stroke Medium-Speed,HFO,MAN B&W
2023-10-01,ENG_001,88.09302214655966,7.341416501338117,2859.2584349405297,3.5418473242767665,1827.6719464541882,46.40914962437608,83.51298633826221,450.0,52.00493245964533,100.0,Critical,Mechanical Wear,2-stroke Medium-Speed,HFO,Mitsubishi
2023-10-08,ENG_001,82.86824691555987,6.325143463338421,4387.889819231546,3.230479561203764,1576.261922452957,27.32229409068673,83.21773700263793,450.0,154.91806268894095,100.0,Critical,Overheating,4-stroke High-Speed,HFO,Yanmar
2023-10-15,ENG_001,82.75117844561306,8.0,3877.304622941717,3.888690912991322,1562.3305712009558,49.71061460667621,82.17151183253742,450.0,110.32941468473074,100.0,Requires Maintenance,Oil Leakage,4-stroke High-Speed,HFO,MAN B&W
2023-10-22,ENG_001,82.98354446631105,6.468684326038423,1243.5625507645445,3.602767161900887,1196.2178349819865,22.063311266913104,80.23615883016515,450.0,73.30700064300676,100.0,Normal,Mechanical Wear,4-stroke High-Speed,HFO,Rolls-Royce
2023-10-29,ENG_001,92.05227947264635,8.0,9258.901823865974,3.6743644872376016,973.8539726341874,74.55922412472692,97.40805889913288,450.0,132.705216286078,100.0,Normal,Overheating,2-stroke Medium-Speed,HFO,Yanmar
2023-11-05,ENG_001,80.97019818543751,6.693355740902589,5829.011387302112,4.138805691545877,1577.6751458460337,35.52679889600101,80.23396373629699,450.0,137.40965717583967,100.0,Normal,Oil Leakage,4-stroke Medium-Speed,Diesel,MAN B&W
2023-11-12,ENG_001,89.62304505539275,8.0,1000.0,3.9015662455979623,1481.0351537438255,59.75133706123892,90.48270388763162,450.0,48.80090974230254,100.0,Requires Maintenance,No Failure,4-stroke Medium-Speed,HFO,Rolls-Royce
2023-11-19,ENG_001,97.54367392866467,6.719583233505387,1699.2089730643654,3.352512718437219,1397.0434650170516,38.70266456536466,95.62777443412828,450.0,57.07204336446217,100.0,Requires Maintenance,Oil Leakage,4-stroke Medium-Speed,Diesel,MAN B&W
2023-11-26,ENG_001,92.08339392161562,7.948978946295497,6964.703475385097,3.4603752675632196,1548.706040837269,51.20408127066865,90.84034985940373,450.0,157.24046582640537,100.0,Requires Maintenance,Mechanical Wear,4-stroke Medium-Speed,HFO,Mitsubishi
2023-12-03,ENG_001,89.34644103174362,7.584930885980317,1000.0,4.077425239941692,1487.9192541606183,52.80261676059678,90.31968144428923,450.0,27.676494445029682,100.0,Requires Maintenance,No Failure,2-stroke Medium-Speed,Diesel,Rolls-Royce
2023-12-10,ENG_001,74.76335776645351,6.66575224104186,1000.0,3.712228433100651,1725.5560501267796,31.091267331531622,73.76660461703284,450.0,7.081270049772946,141.2176054537087,Critical,Mechanical Wear,4-stroke Medium-Speed,Diesel,Wärtsilä
2023-12-17,ENG_001,94.17047242715951,8.0,5745.556752524685,4.243176076935478,1517.2221736517956,78.17507766587352,94.18038249782431,450.0,76.28129419840425,100.0,Critical,Oil Leakage,4-stroke High-Speed,Diesel,MAN B&W
2023-12-24,ENG_001,85.88677035126813,8.0,9243.127739565243,3.0429983873736792,1350.6153429859664,66.50796940166687,88.30724419732852,450.0,134.60326324092966,100.0,Requires Maintenance,No Failure,4-stroke Medium-Speed,HFO,Yanmar
2023-12-31,ENG_001,97.02153518456947,8.0,6388.670074006986,4.186117599138524,1698.0332477918578,76.36993649385136,95.46745664601292,450.0,129.6402418602053,100.0,Critical,No Failure,4-stroke Medium-Speed,Diesel,Caterpillar
